season,year,crop_type,district,crop_yield,area,production,soil_ph,soil_nitrogen,soil_phosphorus,soil_potassium,organic_matter,irrigation_type,rainfall_mm,avg_temperature,fertilizer_npk,organic_fertilizer,pesticide_usage,seed_quality,mechanization,farmer_experience
Kharif,2000,Millet,Ballari,0.17358478666430868,2750.363115,7691.41,6.74,118.9,20.7,157.7,1.51,0,854.0,28.8,137.0,15.2,0,0,0,4
Rabi,2000,Millet,Ballari,0.045929583863298484,2843.007483,6770.04,6.62,100.0,10.0,94.6,1.27,0,431.0,17.2,50.0,13.9,0,0,0,9
Zaid,2000,Millet,Ballari,0.0810652792233545,2767.46337,7514.97,6.24,128.8,10.0,123.2,1.4,1,277.0,29.0,101.7,15.8,1,0,0,6
Kharif,2000,Millet,Belagavi,0.0682707893815222,2870.961639,8262.66,6.9,100.0,17.2,80.0,1.19,1,938.7,28.6,133.4,8.9,0,0,0,1
Rabi,2000,Millet,Belagavi,0.114541958789537,2689.607219,7313.86,6.28,166.6,18.3,80.0,1.68,0,362.1,22.3,133.2,37.2,0,0,0,10
Zaid,2000,Millet,Belagavi,0.10561355591898595,2852.135761,7740.87,6.09,112.0,18.2,141.2,1.44,0,285.4,35.5,79.6,36.3,0,0,0,8
Kharif,2000,Millet,Bengaluru Rural,0.1575546113420438,2650.059344,7092.24,6.68,100.0,18.4,158.0,1.57,0,1207.9,26.8,104.6,2.5,0,0,0,11
Rabi,2000,Millet,Bengaluru Rural,0.18147587104554333,2805.185629,7433.81,6.39,138.5,27.4,96.3,1.34,1,350.6,22.0,141.1,27.6,0,0,0,8
Zaid,2000,Millet,Bengaluru Rural,0.08118630684729981,3086.995543,8506.09,6.55,163.2,10.0,102.1,1.47,1,200.0,24.2,117.0,17.9,0,0,0,5
Kharif,2000,Millet,Bengaluru Urban,0.2354579516931602,2786.619672,7119.16,6.42,140.2,30.6,116.9,1.65,1,885.3,27.9,55.9,7.5,0,0,0,1
